2025-07-17 10:47:17 - PHP Warning:  Undefined array key "error_SBSTYPE" in D:\xampp\htdocs\hp\catalog\controller\account\customerpartner\become_partner.php on line 122
2025-07-17 10:51:42 - PHP Warning:  Undefined array key "error_SBSTYPE" in D:\xampp\htdocs\hp\catalog\controller\account\customerpartner\become_partner.php on line 122
2025-07-17 10:53:24 - PHP Warning:  Undefined array key "error_SBSTYPE" in D:\xampp\htdocs\hp\catalog\controller\account\customerpartner\become_partner.php on line 122
2025-07-17 14:32:41 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\hp\catalog\controller\customerpartner\profile.php on line 147
2025-07-17 14:32:42 - PHP Warning:  mysqli::query(): (42000/1064): You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 3 in D:\xampp\htdocs\hp\system\library\db\mysqli.php on line 25
2025-07-17 14:34:18 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\hp\catalog\controller\customerpartner\profile.php on line 147
2025-07-17 14:34:19 - PHP Warning:  mysqli::query(): (42000/1064): You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 3 in D:\xampp\htdocs\hp\system\library\db\mysqli.php on line 25
2025-07-17 14:35:23 - PHP Warning:  mysqli::query(): (42000/1064): You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 3 in D:\xampp\htdocs\hp\system\library\db\mysqli.php on line 25
2025-07-17 14:40:11 - PHP Warning:  mysqli::query(): (42000/1064): You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 3 in D:\xampp\htdocs\hp\system\library\db\mysqli.php on line 25
2025-07-17 14:48:25 - PHP Warning:  mysqli::query(): (42000/1064): You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 3 in D:\xampp\htdocs\hp\system\library\db\mysqli.php on line 25
2025-07-17 14:48:34 - PHP Warning:  mysqli::query(): (42000/1064): You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 3 in D:\xampp\htdocs\hp\system\library\db\mysqli.php on line 25
